"customer_id","gender","age","tier","region","city"
"CUS0001","Male","46","Premium","Gyeonggi","Yongin"
"CUS0002","Female","42","Regular","Seoul","Dobong-gu"
"CUS0003","Male","51","Gold","Seoul","Yeongdeungpo-gu"
"CUS0004","Female","47","Premium","Seoul","Gangnam-gu"
"CUS0005","Female","24","Regular","Gangwon","Gangneung"
"CUS0006","Male","28","Silver","Gyeonggi","Suwon"
"CUS0007","Female","19","Regular","Gyeonggi","Ansan"
"CUS0008","Male","31","Regular","Gyeonggi","Uijeongbu"
"CUS0009","Female","37","Gold","Gyeonggi","Seongnam"
"CUS0010","Female","18","Regular","Incheon","Bupyeong-gu"
"CUS0011","Male","23","Regular","Incheon","Seo-gu"
"CUS0012","Female","26","Regular","Daegu","Jung-gu"
"CUS0013","Female","36","Regular","Seoul","Nowon-gu"
"CUS0014","Female","22","Silver","Gyeonggi","Goyang"
"CUS0015","Male","35","Regular","Busan","Saha-gu"
"CUS0016","Female","30","Regular","Seoul","Songpa-gu"
"CUS0017","Female","18","Regular","Seoul","Jongno-gu"
"CUS0018","Female","22","Regular","Gangwon","Chuncheon"
"CUS0019","Male","35","Silver","Gyeonggi","Goyang"
"CUS0020","Female","37","Premium","Seoul","Gwanak-gu"
"CUS0021","Male","38","Regular","Gwangju","Nam-gu"
"CUS0022","Male","37","Regular","Gwangju","Nam-gu"
"CUS0023","Female","31","Regular","Gyeonggi","Ansan"
"CUS0024","Male","37","Regular","Gyeonggi","Ansan"
"CUS0025","Male","36","Regular","Gyeonggi","Yongin"
"CUS0026","Male","41","Regular","Chungcheong","Sejong"
"CUS0027","Female","36","Silver","Seoul","Gwanak-gu"
"CUS0028","Male","42","Regular","Gwangju","Gwangsan-gu"
"CUS0029","Male","29","Regular","Busan","Nam-gu"
"CUS0030","Male","30","Silver","Gyeonggi","Uijeongbu"
"CUS0031","Male","42","Regular","Jeolla","Yeosu"
"CUS0032","Female","24","Regular","Seoul","Mapo-gu"
"CUS0033","Male","37","Regular","Gyeonggi","Pyeongtaek"
"CUS0034","Female","31","Regular","Gangwon","Samcheok"
"CUS0035","Female","26","Silver","Jeolla","Gwangyang"
"CUS0036","Female","26","Regular","Seoul","Gangnam-gu"
"CUS0037","Female","37","Gold","Gangwon","Samcheok"
"CUS0038","Male","26","Regular","Gyeonggi","Pyeongtaek"
"CUS0039","Male","27","Regular","Seoul","Dobong-gu"
"CUS0040","Female","36","Silver","Busan","Busanjin-gu"
"CUS0041","Female","23","Premium","Gyeonggi","Hwaseong"
"CUS0042","Female","28","Regular","Gyeonggi","Namyangju"
"CUS0043","Male","31","Silver","Incheon","Namdong-gu"
"CUS0044","Male","31","Regular","Seoul","Nowon-gu"
"CUS0045","Female","39","Regular","Jeju","Jeju city"
"CUS0046","Male","39","Silver","Seoul","Nowon-gu"
"CUS0047","Female","38","Silver","Gyeonggi","Suwon"
"CUS0048","Male","56","Gold","Seoul","Yeongdeungpo-gu"
"CUS0049","Male","29","Regular","Gyeonggi","Suwon"
"CUS0050","Female","24","Regular","Daegu","Dalseo-gu"
"CUS0051","Male","19","Regular","Busan","Haeundae-gu"
"CUS0052","Female","33","Regular","Daegu","Suseong-gu"
"CUS0053","Male","21","Regular","Gyeongsang","Changwon"
"CUS0054","Female","34","Gold","Jeolla","Gwangyang"
"CUS0055","Female","35","Silver","Seoul","Gwanak-gu"
"CUS0056","Male","40","Regular","Busan","Suyeong-gu"
"CUS0057","Female","39","Gold","Seoul","Gangnam-gu"
"CUS0058","Female","36","Regular","Gyeonggi","Ansan"
"CUS0059","Male","39","Gold","Daejeon","Dong-gu"
"CUS0060","Male","32","Regular","Daegu","Suseong-gu"
"CUS0061","Female","39","Gold","Seoul","Mapo-gu"
"CUS0062","Male","22","Regular","Seoul","Nowon-gu"
"CUS0063","Male","22","Silver","Busan","Dongrae-gu"
"CUS0064","Female","34","Regular","Daejeon","Yuseong-gu"
"CUS0065","Male","","Silver","Gyeonggi","Namyangju"
"CUS0066","Male","36","Silver","Daegu","Dong-gu"
"CUS0067","Female","20","Regular","Seoul","Nowon-gu"
"CUS0068","Female","21","Regular","Jeju","Seogwipo"
"CUS0069","Male","33","Silver","Jeolla","Yeosu"
"CUS0070","Female","42","Regular","Incheon","Bupyeong-gu"
"CUS0071","Female","23","Silver","Seoul","Seongdong-gu"
"CUS0072","Male","45","Premium","Gyeongsang","Jinju"
"CUS0073","Female","33","Regular","Jeolla","Gwangyang"
"CUS0074","Male","36","Gold","Gyeongsang","Andong"
"CUS0075","Female","24","Regular","Gyeonggi","Pyeongtaek"
"CUS0076","Female","40","Silver","Seoul","Jongno-gu"
"CUS0077","Female","25","Silver","Gyeongsang","Changwon"
"CUS0078","Female","42","Premium","Incheon","Michuhol-gu"
"CUS0079","Female","36","Silver","Seoul","Jongno-gu"
"CUS0080","Male","38","Silver","Daegu","Buk-gu"
"CUS0081","Male","33","Regular","Gyeonggi","Pyeongtaek"
"CUS0082","Male","45","Premium","Chungcheong","Gongju"
"CUS0083","Male","38","Silver","Busan","Suyeong-gu"
"CUS0084","Female","47","Gold","Daejeon","Dong-gu"
"CUS0085","Female","22","Regular","Jeolla","Gwangyang"
"CUS0086","Female","26","Regular","Incheon","Bupyeong-gu"
"CUS0087","Female","39","Silver","Gyeonggi","Suwon"
"CUS0088","Male","18","Regular","Seoul","Gwanak-gu"
"CUS0089","Female","29","Regular","Gangwon","Chuncheon"
"CUS0090","Male","19","Regular","Gwangju","Seo-gu"
"CUS0091","Male","29","Regular","Incheon","Michuhol-gu"
"CUS0092","Female","27","Silver","Busan","Haeundae-gu"
"CUS0093","Female","22","Premium","Daejeon","Jung-gu"
"CUS0094","Male","30","Regular","Gwangju","Nam-gu"
"CUS0095","Male","33","Regular","Gyeonggi","Namyangju"
"CUS0096","Female","36","Regular","Gyeonggi","Suwon"
"CUS0097","Male","44","Regular","Seoul","Jongno-gu"
"CUS0098","Male","32","Regular","Daegu","Suseong-gu"
"CUS0099","Female","52","Silver","Gyeongsang","Changwon"
"CUS0100","Female","38","Regular","Gyeonggi","Suwon"
"CUS0101","Female","40","Gold","Gyeonggi","Yongin"
"CUS0102","Male","35","Regular","Gyeonggi","Ansan"
"CUS0103","Male","26","Regular","Busan","Dongrae-gu"
"CUS0104","Male","21","Silver","Gyeonggi","Namyangju"
"CUS0105","Female","41","Regular","Incheon","Michuhol-gu"
"CUS0106","Female","24","Gold","Busan","Busanjin-gu"
"CUS0107","Male","30","Regular","Daegu","Jung-gu"
"CUS0108","Female","27","Silver","Seoul","Jongno-gu"
"CUS0109","Male","47","Silver","Gyeongsang","Pohang"
"CUS0110","Male","21","Silver","Gyeonggi","Pyeongtaek"
"CUS0111","Female","31","Regular","Gyeongsang","Andong"
"CUS0112","Female","23","Regular","Seoul","Nowon-gu"
"CUS0113","Male","23","Regular","Chungcheong","Cheongju"
"CUS0114","Female","40","Silver","Seoul","Yeongdeungpo-gu"
"CUS0115","Male","44","Gold","Incheon","Namdong-gu"
"CUS0116","Female","34","Regular","Gyeonggi","Suwon"
"CUS0117","Female","36","Gold","Gwangju","Buk-gu"
"CUS0118","Male","38","Gold","Gyeonggi","Pyeongtaek"
"CUS0119","Female","39","Premium","Gyeonggi","Uijeongbu"
"CUS0120","Male","46","Gold","Gwangju","Dong-gu"
"CUS0121","Female","52","Premium","Seoul","Nowon-gu"
"CUS0122","Female","37","Gold","Gyeonggi","Ansan"
"CUS0123","Female","31","Regular","Gyeonggi","Namyangju"
"CUS0124","Male","31","Silver","Gyeongsang","Jinju"
"CUS0125","Female","19","Regular","Incheon","Michuhol-gu"
"CUS0126","Female","26","Gold","Daegu","Suseong-gu"
"CUS0127","Female","36","Gold","Gwangju","Seo-gu"
"CUS0128","Female","24","Silver","Seoul","Seocho-gu"
"CUS0129","Female","29","Gold","Gyeonggi","Suwon"
"CUS0130","Male","","Gold","Seoul","Songpa-gu"
"CUS0131","Female","31","Regular","Incheon","Yeonsu-gu"
"CUS0132","Male","32","Gold","Seoul","Dobong-gu"
"CUS0133","Male","18","Regular","Daejeon","Jung-gu"
"CUS0134","Female","28","Premium","Gangwon","Sokcho"
"CUS0135","Male","30","Gold","Jeju","Jeju city"
"CUS0136","Male","31","Silver","Gwangju","Seo-gu"
"CUS0137","Female","40","Premium","Gyeonggi","Yongin"
"CUS0138","Male","19","Regular","Seoul","Gwanak-gu"
"CUS0139","Female","31","Regular","Seoul","Mapo-gu"
"CUS0140","Male","25","Silver","Daejeon","Yuseong-gu"
"CUS0141","Male","35","Regular","Gyeongsang","Andong"
"CUS0142","Female","37","Premium","Seoul","Yeongdeungpo-gu"
"CUS0143","Female","43","Premium","Seoul","Gangnam-gu"
"CUS0144","Male","33","Silver","Seoul","Dobong-gu"
"CUS0145","Female","46","Silver","Gyeongsang","Andong"
"CUS0146","Male","41","Silver","Gyeonggi","Pyeongtaek"
"CUS0147","Female","60","Premium","Incheon","Yeonsu-gu"
"CUS0148","Female","21","Regular","Gyeonggi","Suwon"
"CUS0149","Female","22","Regular","Gyeonggi","Seongnam"
"CUS0150","Male","42","Premium","Jeju","Seogwipo"
"CUS0151","Male","41","Silver","Daegu","Suseong-gu"
"CUS0152","Female","23","Regular","Daegu","Dong-gu"
"CUS0153","Female","25","Gold","Jeolla","Gwangyang"
"CUS0154","Male","53","Gold","Gyeongsang","Gyeongju"
"CUS0155","Male","39","Regular","Seoul","Jongno-gu"
"CUS0156","Male","24","Regular","Jeju","Jeju city"
"CUS0157","Female","27","Regular","Incheon","Yeonsu-gu"
"CUS0158","Male","40","Regular","Gyeonggi","Suwon"
"CUS0159","Male","37","Gold","Seoul","Mapo-gu"
"CUS0160","Female","41","Premium","Gwangju","Seo-gu"
"CUS0161","Female","19","Regular","Chungcheong","Sejong"
"CUS0162","Male","31","Silver","Gyeongsang","Changwon"
"CUS0163","Male","19","Silver","Seoul","Yeongdeungpo-gu"
"CUS0164","Female","44","Silver","Seoul","Seongdong-gu"
"CUS0165","Male","47","Gold","Busan","Saha-gu"
"CUS0166","Male","33","Silver","Busan","Nam-gu"
"CUS0167","Male","34","Regular","Chungcheong","Cheonan"
"CUS0168","Female","41","Regular","Daejeon","Jung-gu"
"CUS0169","Female","38","Regular","Seoul","Jongno-gu"
"CUS0170","Male","18","Regular","Gyeonggi","Suwon"
"CUS0171","Male","","Regular","Jeolla","Yeosu"
"CUS0172","Female","33","Silver","Gyeonggi","Namyangju"
"CUS0173","Male","25","Premium","Chungcheong","Gongju"
"CUS0174","Female","40","Premium","Gyeonggi","Pyeongtaek"
"CUS0175","Male","18","Regular","Busan","Haeundae-gu"
"CUS0176","Male","35","Regular","Seoul","Dobong-gu"
"CUS0177","Female","32","Regular","Seoul","Nowon-gu"
"CUS0178","Female","20","Regular","Seoul","Mapo-gu"
"CUS0179","Male","20","Regular","Jeolla","Suncheon"
"CUS0180","Male","33","Regular","Seoul","Yeongdeungpo-gu"
"CUS0181","Female","28","Regular","Seoul","Seocho-gu"
"CUS0182","Female","19","Regular","Seoul","Jongno-gu"
"CUS0183","Male","26","Silver","Busan","Busanjin-gu"
"CUS0184","Female","42","Premium","Chungcheong","Asan"
"CUS0185","Female","34","Regular","Seoul","Mapo-gu"
"CUS0186","Male","35","Regular","Seoul","Nowon-gu"
"CUS0187","Male","18","Regular","Gyeonggi","Ansan"
"CUS0188","Female","45","Silver","Gyeonggi","Namyangju"
"CUS0189","Male","34","Regular","Seoul","Seongdong-gu"
"CUS0190","Male","35","Silver","Busan","Nam-gu"
"CUS0191","Male","18","Regular","Seoul","Yeongdeungpo-gu"
"CUS0192","Male","30","Regular","Seoul","Seongdong-gu"
"CUS0193","Female","23","Regular","Seoul","Songpa-gu"
"CUS0194","Male","27","Gold","Seoul","Gangnam-gu"
"CUS0195","Female","32","Silver","Incheon","Bupyeong-gu"
"CUS0196","Female","46","Silver","Seoul","Mapo-gu"
"CUS0197","Male","23","Silver","Incheon","Michuhol-gu"
"CUS0198","Female","27","Regular","Gyeonggi","Seongnam"
"CUS0199","Female","20","Silver","Daegu","Suseong-gu"
"CUS0200","Female","34","Regular","Seoul","Mapo-gu"
"CUS0201","Male","23","Regular","Seoul","Nowon-gu"
"CUS0202","Male","29","Gold","Seoul","Seocho-gu"
"CUS0203","Male","35","Silver","Seoul","Gangnam-gu"
"CUS0204","Male","28","Regular","Seoul","Seocho-gu"
"CUS0205","Female","31","Gold","Gyeongsang","Pohang"
"CUS0206","Female","39","Silver","Seoul","Mapo-gu"
"CUS0207","Female","","Silver","Jeolla","Iksan"
"CUS0208","Female","33","Regular","Gwangju","Nam-gu"
"CUS0209","Male","18","Regular","Gyeonggi","Ansan"
"CUS0210","Male","33","Silver","Seoul","Mapo-gu"
"CUS0211","Female","32","Silver","Gyeonggi","Hwaseong"
"CUS0212","Female","18","Regular","Busan","Suyeong-gu"
"CUS0213","Male","38","Regular","Gyeonggi","Seongnam"
"CUS0214","Female","27","Silver","Seoul","Mapo-gu"
"CUS0215","Male","18","Silver","Gwangju","Dong-gu"
"CUS0216","Male","33","Premium","Gyeonggi","Goyang"
"CUS0217","Male","44","Premium","Gangwon","Gangneung"
"CUS0218","Female","23","Regular","Gyeongsang","Jinju"
"CUS0219","Male","43","Silver","Seoul","Dobong-gu"
